"domain","scenario_id","study_type","description","outcome_categories","raters","kappa0","kappa1","effect_size","proportions","alpha","power","clinical_context","research_question"
"medical_diagnosis_power","ed_pneumonia_agreement","Emergency Department Pneumonia Agreement","Sample size needed to detect improvement in chest X-ray agreement",2,2,0.5,0.75,0.25,"0.25, 0.75",0.05,0.8,"Two emergency physicians want to establish reliable pneumonia detection protocol","How many chest X-rays needed to detect improvement from fair (κ=0.50) to good (κ=0.75) agreement?"
"medical_diagnosis_power","mammography_screening_improvement","Mammography Screening Agreement Improvement","Sample size for detecting enhanced radiologist agreement after training",2,2,0.6,0.8,0.2,"0.12, 0.88",0.05,0.8,"Two radiologists post-training want to validate improved agreement","Sample size needed to demonstrate training improved agreement from κ=0.60 to κ=0.80?"
"medical_diagnosis_power","skin_lesion_expert_vs_trainee","Skin Lesion Expert vs Trainee Agreement","Sample size to detect difference between expert and trainee agreement levels",2,3,0.45,0.7,0.25,"0.18, 0.82",0.05,0.8,"Comparing dermatology expert vs trainee biopsy recommendations","Sample size to detect improvement from trainee (κ=0.45) to expert (κ=0.70) levels?"
"medical_diagnosis_power","icu_discharge_protocol","ICU Discharge Protocol Validation","Sample size for validating standardized discharge criteria",2,3,0.55,0.8,0.25,"0.6, 0.4",0.05,0.85,"Three ICU physicians implementing standardized discharge criteria","Sample size to validate protocol improves agreement from κ=0.55 to κ=0.80?"
"medical_diagnosis_power","pathology_standardization","Pathology Diagnosis Standardization","Sample size for demonstrating improved diagnostic agreement",2,4,0.7,0.9,0.2,"0.35, 0.65",0.01,0.9,"Four pathologists implementing standardized diagnostic criteria","Sample size for rigorous validation of improved agreement (κ=0.70 to κ=0.90)?"
"medical_severity_power","heart_failure_staging","Heart Failure Staging Agreement","Sample size for validating improved staging agreement",3,2,0.55,0.75,0.2,"0.2, 0.5, 0.3",0.05,0.8,"Two cardiologists validating new echocardiographic staging criteria","Sample size to detect staging agreement improvement from κ=0.55 to κ=0.75?"
"medical_severity_power","burn_severity_protocol","Burn Severity Grading Protocol","Sample size for standardized burn assessment validation",3,3,0.6,0.85,0.25,"0.4, 0.35, 0.25",0.05,0.8,"Three emergency physicians implementing standardized burn grading","Sample size needed to validate protocol improves grading from κ=0.60 to κ=0.85?"
"medical_severity_power","osteoarthritis_imaging","Osteoarthritis Imaging Standardization","Sample size for improved radiological grading agreement",3,2,0.65,0.8,0.15,"0.25, 0.45, 0.3",0.05,0.8,"Two musculoskeletal radiologists using standardized Kellgren-Lawrence criteria","Sample size to demonstrate improved grading consistency (κ=0.65 to κ=0.80)?"
"medical_severity_power","depression_severity_scale","Depression Severity Scale Validation","Sample size for validating new depression rating agreement",3,2,0.5,0.7,0.2,"0.3, 0.45, 0.25",0.05,0.8,"Two psychiatrists validating structured depression assessment tool","Sample size to validate improved rating consistency (κ=0.50 to κ=0.70)?"
"medical_severity_power","asthma_control_validation","Pediatric Asthma Control Validation","Sample size for standardized asthma control assessment",3,3,0.55,0.75,0.2,"0.35, 0.4, 0.25",0.05,0.85,"Three pediatricians implementing standardized asthma control criteria","Sample size for validating control assessment improvement (κ=0.55 to κ=0.75)?"
"four_category_power","tumor_grading_standardization","Tumor Grading Standardization","Sample size for validating improved tumor grading agreement",4,3,0.6,0.8,0.2,"0.15, 0.25, 0.35, 0.25",0.05,0.8,"Three pathologists implementing standardized grading criteria","Sample size to validate grading standardization (κ=0.60 to κ=0.80)?"
"four_category_power","cognitive_assessment_tool","Cognitive Assessment Tool Validation","Sample size for new cognitive assessment protocol",4,2,0.55,0.75,0.2,"0.2, 0.3, 0.3, 0.2",0.05,0.8,"Two neuropsychologists validating structured cognitive assessment","Sample size for demonstrating assessment improvement (κ=0.55 to κ=0.75)?"
"four_category_power","surgical_complication_grading","Surgical Complication Grading Validation","Sample size for standardized complication assessment",4,3,0.65,0.85,0.2,"0.4, 0.3, 0.2, 0.1",0.01,0.8,"Three surgeons implementing standardized Clavien-Dindo classification","Sample size for validating complication grading improvement (κ=0.65 to κ=0.85)?"
"four_category_power","performance_status_validation","Performance Status Validation","Sample size for improved performance status agreement",4,2,0.6,0.8,0.2,"0.25, 0.35, 0.25, 0.15",0.05,0.8,"Two oncologists validating structured performance assessment","Sample size to validate performance rating improvement (κ=0.60 to κ=0.80)?"
"four_category_power","pain_interference_scale","Pain Interference Scale Validation","Sample size for standardized pain interference assessment",4,2,0.5,0.7,0.2,"0.2, 0.3, 0.3, 0.2",0.05,0.8,"Two clinicians validating pain interference assessment tool","Sample size for demonstrating interference rating improvement (κ=0.50 to κ=0.70)?"
"five_category_power","anxiety_severity_tool","Anxiety Severity Tool Validation","Sample size for standardized anxiety assessment",5,2,0.45,0.65,0.2,"0.1, 0.2, 0.35, 0.25, 0.1",0.05,0.8,"Two psychologists validating structured anxiety assessment protocol","Sample size for anxiety assessment validation (κ=0.45 to κ=0.65)?"
"five_category_power","functional_independence_validation","Functional Independence Validation","Sample size for improved functional assessment agreement",5,3,0.55,0.75,0.2,"0.15, 0.2, 0.3, 0.25, 0.1",0.05,0.85,"Three rehabilitation specialists implementing standardized functional assessment","Sample size for functional assessment standardization (κ=0.55 to κ=0.75)?"
"five_category_power","pain_intensity_non_verbal","Non-verbal Pain Assessment Validation","Sample size for validating non-verbal pain assessment",5,2,0.4,0.6,0.2,"0.2, 0.25, 0.25, 0.2, 0.1",0.05,0.8,"Two nurses validating behavioral pain indicators in ICU patients","Sample size for non-verbal pain assessment validation (κ=0.40 to κ=0.60)?"
"five_category_power","clinical_competency_validation","Clinical Competency Assessment Validation","Sample size for standardized medical student evaluation",5,4,0.6,0.8,0.2,"0.05, 0.15, 0.35, 0.35, 0.1",0.01,0.8,"Four attending physicians implementing standardized competency assessment","Sample size for competency assessment standardization (κ=0.60 to κ=0.80)?"
"five_category_power","quality_of_life_validation","Quality of Life Assessment Validation","Sample size for improved quality of life rating agreement",5,2,0.5,0.7,0.2,"0.1, 0.2, 0.3, 0.25, 0.15",0.05,0.8,"Two clinicians validating quality of life assessment in chronic disease","Sample size for quality of life assessment improvement (κ=0.50 to κ=0.70)?"
"research_quality_power","study_quality_assessment_tool","Study Quality Assessment Tool Validation","Sample size for improved systematic review quality assessment",3,2,0.55,0.75,0.2,"0.25, 0.45, 0.3",0.05,0.8,"Two researchers validating systematic review quality assessment criteria","Sample size for quality assessment tool validation (κ=0.55 to κ=0.75)?"
"research_quality_power","grant_scoring_standardization","Grant Scoring Standardization","Sample size for improved grant evaluation agreement",5,3,0.45,0.7,0.25,"0.1, 0.2, 0.3, 0.25, 0.15",0.05,0.85,"Three expert reviewers implementing standardized grant evaluation criteria","Sample size for grant scoring standardization (κ=0.45 to κ=0.70)?"
"research_quality_power","adverse_event_severity_protocol","Adverse Event Severity Protocol Validation","Sample size for standardized adverse event assessment",4,2,0.65,0.85,0.2,"0.35, 0.3, 0.25, 0.1",0.01,0.8,"Two investigators implementing standardized adverse event classification","Sample size for adverse event classification validation (κ=0.65 to κ=0.85)?"
"research_quality_power","image_quality_standardization","Medical Image Quality Standardization","Sample size for improved image quality assessment",4,3,0.6,0.8,0.2,"0.1, 0.2, 0.45, 0.25",0.05,0.8,"Three radiologists implementing standardized image quality criteria","Sample size for image quality assessment standardization (κ=0.60 to κ=0.80)?"
"research_quality_power","biomarker_expression_validation","Biomarker Expression Assessment Validation","Sample size for standardized biomarker scoring",3,2,0.7,0.9,0.2,"0.3, 0.45, 0.25",0.01,0.9,"Two pathologists implementing standardized immunohistochemical scoring","Sample size for biomarker scoring standardization (κ=0.70 to κ=0.90)?"
